group,gender,spk_id,user_id,batch_id,audio_id,sentence,audio,duration_seconds,source_file
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_1,amashina awe mukwai efyalandile holmes ilyo twalekonkosha pa ciibi cakwa gilchrist,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_1_375_400.wav,8.696,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_2,nshaishipo nangu umo kano umo umwaume uwatalile amusekesha,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_2_375_400.wav,8.185,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_3,umukalamba wa mutuulo mu calici taipwishe pali katikishimu pa kuti omfwemo isambililo,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_3_375_400.wav,12.272,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_4,ilyo caisa ku kwiba kwandi ukwa kampani nalatila nati nalimwafwako ukukanaluusa bushiku bumo,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_4_375_400.wav,14.78,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_5,pa muku umo imbushi yacontweke no kufyuka ukufuma ku bashilika kabili no mutwe ukulosha panshi yabutukiile pali boolooroo,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_5_375_400.wav,17.945,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_6,amafunde ayengi eko yaba pakati kabo ayabombela capamo  na yobe ifyo yali mu nshiku sha kale,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_6_375_400.wav,11.842,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_7,ukwipusha amepusho na yambi ukufuma kuli iwe ndesumina ukuti kuti caba lufyengo,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_7_375_400.wav,12.144,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_8,bushe tawabutukile mu ng'anda no kumona nga martha kuti ashapo umubomfi wa mung'anda umo nelyo babili,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_8_375_400.wav,13.733,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_9,eico nabikile abalinshi ukulinda cila umo umo muli ilya ng'anda,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_9_375_400.wav,8.93,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_10,butukila kunuma uncas no kundetela icikulile ngo lukasa lwa kwa kemba,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_10_375_400.wav,9.77,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_11,amaka yakusonga ayo timaeus akwata pa nkulo ya kuntanshi yashintilila lubali lumbi pa kukanaumfwikisha,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_11_375_400.wav,15.83,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_12,paulo alandikisha ukuti abatumwa babufi tabaitilwe nelyo ukutumwa na bantu nelyo lesa,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_12_375_400.wav,12.815,native_male.csv
NM,M,Spk8,U_6d6bb04eba,375_400,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_13,nani wakufundile ukukuusa umushili ndefwaya ukwishiba,Bemba_NM_Spk8_U_6d6bb04eba_Utterance_13_375_400.wav,7.49,native_male.csv
